DTXSID,PREFERRED NAME,casrn,INCHIKEY,IUPAC NAME,smiles,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays,predictions_model2
DTXSID9027601,C.I. Pigment Yellow 14,5468-75-7,LQZFGPJGXVFSTR-UHFFFAOYSA-N,"2,2'-{(3,3'-Dichloro[1,1'-biphenyl]-4,4'-diyl)bis[(E)diazene-2,1-diyl]}bis[N-(2-methylphenyl)-3-oxobutanamide]",CC(=O)C(N=NC1=C(Cl)C=C(C=C1)C1=CC(Cl)=C(C=C1)N=NC(C(C)=O)C(=O)NC1=C(C)C=CC=C1)C(=O)NC1=C(C)C=CC=C1,"InChI=1/C34H30Cl2N6O4/c1-19-9-5-7-11-27(19)37-33(45)31(21(3)43)41-39-29-15-13-23(17-25(29)35)24-14-16-30(26(36)18-24)40-42-32(22(4)44)34(46)38-28-12-8-6-10-20(28)2/h5-18,31-32H,1-4H3,(H,37,45)(H,38,46)",C34H30Cl2N6O4,657.55,656.170559,83,,40.0,67.0,2, ,,,Inactive
DTXSID5029768,"Phosphonic acid, [[(phosphonomethyl)imino]bis[2,1-ethanediylnitrilobis(methylene)]]tetrakis-, pentasodium salt",61792-09-4,QRIAWZKHYOWOAR-UHFFFAOYSA-H,,[Na+].[Na+].[Na+].[Na+].[Na+].OP([O-])(=O)CN(CCN(CP(O)([O-])=O)CP(O)([O-])=O)CCN(CP(O)([O-])=O)CP([O-])([O-])=O,"InChI=1S/C9H28N3O15P5.5Na/c13-28(14,15)5-10(1-3-11(6-29(16,17)18)7-30(19,20)21)2-4-12(8-31(22,23)24)9-32(25,26)27;;;;;/h1-9H2,(H2,13,14,15)(H2,16,17,18)(H2,19,20,21)(H2,22,23,24)(H2,25,26,27);;;;;/q;5*+1/p-6",C9H22N3Na5O15P5,682.099,681.923297,16,,4.0,,2, ,,,Inactive
DTXSID1020302,Chloroethane,75-00-3,HRYZWHHZPQKTII-UHFFFAOYSA-N,Chloroethane,CCCl,"InChI=1S/C2H5Cl/c1-2-3/h2H2,1H3",C2H5Cl,64.51,64.007978,165,806.0,101.0,55.0,2, ,,,Inactive
DTXSID80870021,"Cyclohexanamine, 4,4'-methylenebis[N-(1-methylpropyl)-",154279-60-4,PICLBAFTFYTURY-UHFFFAOYSA-N,"4,4'-Methylenebis[N-(butan-2-yl)cyclohexan-1-amine]",CCC(C)NC1CCC(CC2CCC(CC2)NC(C)CC)CC1,"InChI=1S/C21H42N2/c1-5-16(3)22-20-11-7-18(8-12-20)15-19-9-13-21(14-10-19)23-17(4)6-2/h16-23H,5-15H2,1-4H3",C21H42N2,322.581,322.334799,36,,14.0,,5, ,,,Inactive
DTXSID2029321,"(((Phosphonomethyl)imino)bis((ethylenenitrilo)bis(methylene)))tetrakisphosphonic acid, sodium salt",22042-96-2,,,OP(=O)(O)CN(CCN(CP(=O)(O)O)CP(=O)(O)O)CCN(CP(=O)(O)O)CP(=O)(O)O,,,, ,47,8.0,,,1, ,,,Inactive
DTXSID4027999,"2-Phosphono-1,2,4-butanetricarboxylic acid",37971-36-1,SZHQPBJEOCHCKM-UHFFFAOYSA-N,"2-Phosphonobutane-1,2,4-tricarboxylic acid",OC(=O)CCC(CC(O)=O)(C(O)=O)P(O)(O)=O,"InChI=1S/C7H11O9P/c8-4(9)1-2-7(6(12)13,3-5(10)11)17(14,15)16/h1-3H2,(H,8,9)(H,10,11)(H,12,13)(H2,14,15,16)",C7H11O9P,270.13,270.014069,73,4.0,70.0,10.0,1, ,,,Inactive
DTXSID90863747,C.I. Pigment Yellow 55,6358-37-8,UCUHCYVCVYRSER-UHFFFAOYSA-N,"2,2'-[(3,3'-Dichloro[1,1'-biphenyl]-4,4'-diyl)bis(diazene-2,1-diyl)]bis[N-(4-methylphenyl)-3-oxobutanamide]",CC(=O)C(N=NC1=CC=C(C=C1Cl)C1=CC(Cl)=C(C=C1)N=NC(C(C)=O)C(=O)NC1=CC=C(C)C=C1)C(=O)NC1=CC=C(C)C=C1,"InChI=1/C34H30Cl2N6O4/c1-19-5-11-25(12-6-19)37-33(45)31(21(3)43)41-39-29-15-9-23(17-27(29)35)24-10-16-30(28(36)18-24)40-42-32(22(4)44)34(46)38-26-13-7-20(2)8-14-26/h5-18,31-32H,1-4H3,(H,37,45)(H,38,46)",C34H30Cl2N6O4,657.55,656.170559,55,,25.0,21.0,5, ,,,Inhibitor_weak
DTXSID00703660,PUBCHEM_53471474,74091-64-8,BSOZKTLPXKEUSN-UHFFFAOYSA-L,,[O-]C#N.[O-]C#N.[H]C12CCC([H])(C1)C=C2,"InChI=1S/C7H10.2CHNO/c1-2-7-4-3-6(1)5-7;2*2-1-3/h1-2,6-7H,3-5H2;2*3H/p-2",C9H10N2O2,178.192,178.075325,17,,3.0,,5, ,,,Inactive
DTXSID8057930,Benzovindiflupyr,1072957-71-1,CCCGEKHKTPTUHJ-UHFFFAOYSA-N,"N-[9-(Dichloromethylidene)-1,2,3,4-tetrahydro-1,4-methanonaphthalen-5-yl]-3-(difluoromethyl)-1-methyl-1H-pyrazole-4-carboxamide",CN1C=C(C(=O)NC2=C3C4CCC(C3=CC=C2)C4=C(Cl)Cl)C(=N1)C(F)F,"InChI=1/C18H15Cl2F2N3O/c1-25-7-11(15(24-25)17(21)22)18(26)23-12-4-2-3-8-9-5-6-10(13(8)12)14(9)16(19)20/h2-4,7,9-10,17H,5-6H2,1H3,(H,23,26)",C18H15Cl2F2N3O,398.23,397.056024,46,,19.0,,1, ,,,Inactive
DTXSID10223329,2-Amino-5-methyl-thiazole,7305-71-7,GUABFMPMKJGSBQ-UHFFFAOYSA-N,"5-Methyl-1,3-thiazol-2-amine",CC1=CN=C(N)S1,"InChI=1S/C4H6N2S/c1-3-2-6-4(5)7-3/h2H,1H3,(H2,5,6)",C4H6N2S,114.17,114.025169,36,5.0,160.0,,4, ,,,Inactive
DTXSID0027644,"N-Oleyl-1,3-propanediamine",7173-62-8,TUFJPPAQOXUHRI-KTKRTIGZSA-N,"N~1~-[(9Z)-Octadec-9-en-1-yl]propane-1,3-diamine",CCCCCCCC\C=C/CCCCCCCCNCCCN,"InChI=1S/C21H44N2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-23-21-18-19-22/h9-10,23H,2-8,11-22H2,1H3/b10-9-",C21H44N2,324.597,324.350449,62,,30.0,12.0,1, ,,,Inactive
DTXSID4029438,"Amines, C12-16-alkyldimethyl",68439-70-3,,,CCCCCCCCCCCCCCCCN(C)C,,,, ,39,,,,2, ,,,Inactive
DTXSID3027538,"Stannane, tetraoctyl-",3590-84-9,JTGNPNLBCGBCMP-UHFFFAOYSA-N,Tetraoctylstannane,CCCCCCCC[Sn](CCCCCCCC)(CCCCCCCC)CCCCCCCC,"InChI=1S/4C8H17.Sn/c4*1-3-5-7-8-6-4-2;/h4*1,3-8H2,2H3;",C32H68Sn,571.606,572.434304,55,,55.0,,1, ,,,Inhibitor_very weak
DTXSID60556851,Bis(nonafluorobutyl)phosphinic acid,52299-25-9,WAZIDHPTVNFDQG-UHFFFAOYSA-N,Bis(nonafluorobutyl)phosphinic acid,OP(=O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C8HF18O2P/c9-1(10,5(17,18)19)3(13,14)7(23,24)29(27,28)8(25,26)4(15,16)2(11,12)6(20,21)22/h(H,27,28)",C8HF18O2P,502.039,501.942673,26,,14.0,,2, ,,,Inactive
DTXSID40473936,AGN-PC-00GZVS,111453-32-8,URFBLIYCWAORDM-UHFFFAOYSA-N,"3-Amino-5-[(2,3-dihydroxypropyl)carbamoyl]-2,4,6-triiodobenzoic acid",NC1=C(I)C(C(=O)NCC(O)CO)=C(I)C(C(O)=O)=C1I,"InChI=1S/C11H11I3N2O5/c12-6-4(10(19)16-1-3(18)2-17)7(13)9(15)8(14)5(6)11(20)21/h3,17-18H,1-2,15H2,(H,16,19)(H,20,21)",C11H11I3N2O5,631.931,631.780210,20,,,,5, ,,,Inactive
DTXSID2024959,Dibutyltinbis(lauryl mercaptide),1185-81-5,FFGHLLOLFQHABK-UHFFFAOYSA-L,Dibutyl[bis(dodecylsulfanyl)]stannane,CCCCCCCCCCCCS[Sn](CCCC)(CCCC)SCCCCCCCCCCCC,"InChI=1S/2C12H26S.2C4H9.Sn/c2*1-2-3-4-5-6-7-8-9-10-11-12-13;2*1-3-4-2;/h2*13H,2-12H2,1H3;2*1,3-4H2,2H3;/q;;;;+2/p-2",C32H68S2Sn,635.73,636.378447,47,,37.0,,2, ,,,Inhibitor_very weak
DTXSID8026937,Dimethyl ether,115-10-6,LCGLNKUTAGEVQW-UHFFFAOYSA-N,Methoxymethane,COC,InChI=1S/C2H6O/c1-3-2/h1-2H3,C2H6O,46.069,46.041865,152,117.0,110.0,687.0,2, ,,,Inactive
DTXSID9041578,Trifluoroacetic acid,76-05-1,DTQVDTLACAAQTR-UHFFFAOYSA-N,Trifluoroacetic acid,OC(=O)C(F)(F)F,"InChI=1S/C2HF3O2/c3-2(4,5)1(6)7/h(H,6,7)",C2HF3O2,114.023,113.992864,116,1138.0,579.0,17.0,2, ,,,Inactive
DTXSID2040571,Olmesartan,144689-24-7,VTRAEEWXHOVJFV-UHFFFAOYSA-N,"4-(2-Hydroxypropan-2-yl)-2-propyl-1-{[2'-(1H-tetrazol-5-yl)[1,1'-biphenyl]-4-yl]methyl}-1H-imidazole-5-carboxylic acid",CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O,"InChI=1S/C24H26N6O3/c1-4-7-19-25-21(24(2,3)33)20(23(31)32)30(19)14-15-10-12-16(13-11-15)17-8-5-6-9-18(17)22-26-28-29-27-22/h5-6,8-13,33H,4,7,14H2,1-3H3,(H,31,32)(H,26,27,28,29)",C24H26N6O3,446.511,446.206639,53,592.0,137.0,,2, ,,,Inactive
DTXSID7058961,o-(Trifluoromethyl)aniline,88-17-5,VBLXCTYLWZJBKA-UHFFFAOYSA-N,2-(Trifluoromethyl)aniline,NC1=C(C=CC=C1)C(F)(F)F,"InChI=1S/C7H6F3N/c8-7(9,10)5-3-1-2-4-6(5)11/h1-4H,11H2",C7H6F3N,161.127,161.045234,60,,142.0,,2, ,,,Inactive
DTXSID7022594,Amitriptyline,50-48-6,KRMDCWKBEZIMAB-UHFFFAOYSA-N,"3-(10,11-Dihydro-5H-dibenzo[a,d][7]annulen-5-ylidene)-N,N-dimethylpropan-1-amine",CN(C)CCC=C1C2=CC=CC=C2CCC2=C1C=CC=C2,"InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3",C20H23N,277.411,277.183050,125,6246.0,164.0,,2, ,,,Inhibitor_very weak
DTXSID9024693,tert-Butyl hydroperoxide,75-91-2,CIHOLLKRGTVIJN-UHFFFAOYSA-N,2-Methylpropane-2-peroxol,CC(C)(C)OO,"InChI=1S/C4H10O2/c1-4(2,3)6-5/h5H,1-3H3",C4H10O2,90.122,90.068080,111,2022.0,130.0,10.0,2, ,,,Inactive
DTXSID3068043,"1,3,5-Triazine-2,4,6(1H,3H,5H)-trione, compd. with 1,3,5-triazine-2,4,6-triamine (1:1)",37640-57-6,ZQKXQUJXLSSJCH-UHFFFAOYSA-N,"1,3,5-Triazinane-2,4,6-trione--1,3,5-triazine-2,4,6-triamine (1/1)",NC1=NC(N)=NC(N)=N1.O=C1NC(=O)NC(=O)N1,"InChI=1S/C3H6N6.C3H3N3O3/c4-1-7-2(5)9-3(6)8-1;7-1-4-2(8)6-3(9)5-1/h(H6,4,5,6,7,8,9);(H3,4,5,6,7,8,9)",C6H9N9O3,255.198,255.082835,48,14.0,57.0,1.0,3, ,,,Inactive
DTXSID10475604,3-(4-methyl-1H-imidazol-1-yl)-5-(trifluoromethyl)aniline,641571-11-1,WWTGXYAJVXKEKL-UHFFFAOYSA-N,3-(4-Methyl-1H-imidazol-1-yl)-5-(trifluoromethyl)aniline,CC1=CN(C=N1)C1=CC(=CC(N)=C1)C(F)(F)F,"InChI=1S/C11H10F3N3/c1-7-5-17(6-16-7)10-3-8(11(12,13)14)2-9(15)4-10/h2-6H,15H2,1H3",C11H10F3N3,241.217,241.082682,20,,107.0,,5, ,,,Inactive
DTXSID3034329,Amicarbazone,129909-90-6,ORFPWVRKFLOQHK-UHFFFAOYSA-N,"4-Amino-N-tert-butyl-5-oxo-3-(propan-2-yl)-4,5-dihydro-1H-1,2,4-triazole-1-carboxamide",CC(C)C1=NN(C(=O)NC(C)(C)C)C(=O)N1N,"InChI=1S/C10H19N5O2/c1-6(2)7-13-15(9(17)14(7)11)8(16)12-10(3,4)5/h6H,11H2,1-5H3,(H,12,16)",C10H19N5O2,241.295,241.153875,62,,74.0,,2, ,,,Inactive
DTXSID30188062,"4,4'-Difluorobenzophenone",345-92-6,LSQARZALBDFYQZ-UHFFFAOYSA-N,Bis(4-fluorophenyl)methanone,FC1=CC=C(C=C1)C(=O)C1=CC=C(F)C=C1,InChI=1S/C13H8F2O/c14-11-5-1-9(2-6-11)13(16)10-3-7-12(15)8-4-10/h1-8H,C13H8F2O,218.203,218.054321,57,1.0,131.0,1.0,4, ,,,Inactive
DTXSID2024618,"N,N'-Bis(1,4-dimethylpentyl)-4-phenylenediamine",3081-14-9,ZJNLYGOUHDJHMG-UHFFFAOYSA-N,"N~1~,N~4~-Bis(5-methylhexan-2-yl)benzene-1,4-diamine",CC(C)CCC(C)NC1=CC=C(NC(C)CCC(C)C)C=C1,"InChI=1S/C20H36N2/c1-15(2)7-9-17(5)21-19-11-13-20(14-12-19)22-18(6)10-8-16(3)4/h11-18,21-22H,7-10H2,1-6H3",C20H36N2,304.522,304.287849,60,,41.0,,1, ,,,Inactive
DTXSID9052185,2-Mercaptomethylbenzimidazole,53988-10-6,,,Cc1cccc2NC(=S)Nc12,,,, ,50,2.0,,1.0,1, ,,,Inactive
DTXSID7059933,Perfluoro(N-methylmorpholine),382-28-5,PQMAKJUXOOVROI-UHFFFAOYSA-N,"2,2,3,3,5,5,6,6-Octafluoro-4-(trifluoromethyl)morpholine",FC(F)(F)N1C(F)(F)C(F)(F)OC(F)(F)C1(F)F,"InChI=1S/C5F11NO/c6-1(7)3(10,11)18-4(12,13)2(8,9)17(1)5(14,15)16",C5F11NO,299.043,298.980423,59,,45.0,,2, ,,,Inactive
DTXSID70872973,Carbonate,3812-32-6,BVKZGUZCCUSVTD-UHFFFAOYSA-L,Carbonate,[O-]C([O-])=O,"InChI=1S/CH2O3/c2-1(3)4/h(H2,2,3,4)/p-2",CO3,60.009,59.985841,32,,32.0,2.0,1, ,,,Inhibitor_weak
DTXSID70964009,"3a-Methylhexahydro-2-benzofuran-1,3-dione",48122-14-1,VYKXQOYUCMREIS-UHFFFAOYSA-N,"3a-Methylhexahydro-2-benzofuran-1,3-dione",CC12CCCCC1C(=O)OC2=O,"InChI=1S/C9H12O3/c1-9-5-3-2-4-6(9)7(10)12-8(9)11/h6H,2-5H2,1H3",C9H12O3,168.192,168.078644,13,,65.0,,5, ,,,Inactive
DTXSID00893535,"N,N-Dimethyl-1-adamantanamine",3717-40-6,NFBYCNFAXLUGBT-UHFFFAOYSA-N,"N,N-Dimethyladamantan-1-amine",CN(C)C12CC3CC(CC(C3)C1)C2,"InChI=1S/C12H21N/c1-13(2)12-6-9-3-10(7-12)5-11(4-9)8-12/h9-11H,3-8H2,1-2H3",C12H21N,179.307,179.167400,25,,45.0,,1, ,,,Inactive
DTXSID70544926,2-(Propan-2-yl)benzene-1-peroxol,61638-02-6,CZNJIWCDRJWKLG-UHFFFAOYSA-N,2-(Propan-2-yl)benzene-1-peroxol,CC(C)C1=CC=CC=C1OO,"InChI=1S/C9H12O2/c1-7(2)8-5-3-4-6-9(8)11-10/h3-7,10H,1-2H3",C9H12O2,152.193,152.083730,1,,12.0,,5, ,,,Inactive
DTXSID4021898,1-Methylpiperazine,109-01-3,PVOAHINGSUIXLS-UHFFFAOYSA-N,1-Methylpiperazine,CN1CCNCC1,"InChI=1S/C5H12N2/c1-7-4-2-6-3-5-7/h6H,2-5H2,1H3",C5H12N2,100.165,100.100048,81,19.0,239.0,,2, ,,,Inactive
DTXSID0024187,Methyl iodide,74-88-4,INQOMBQAUSQDDS-UHFFFAOYSA-N,Iodomethane,CI,InChI=1S/CH3I/c1-2/h1H3,CH3I,141.939,141.927950,154,283.0,134.0,12.0,2, ,,,Inactive
DTXSID70894655,C.I. Pigment Yellow 176,90268-24-9,,,COc1cc(NC(=O)\C(=C(\C)/O)\N=N\c2ccc(cc2Cl)c3ccc(\N=N\C(=C(\C)/O)\C(=O)Nc4ccc(C)cc4C)c(Cl)c3)c(OC)cc1Cl,,,, ,27,,,,3, ,,,Inactive
DTXSID00890327,"Benzenesulfonic acid, oxybis[methyl-, sodium salt (1:2)",73037-34-0,KIJXFUZOQIQMKG-UHFFFAOYSA-L,"Disodium 2,2'-oxybis(3-methylbenzene-1-sulfonate)",[Na+].[Na+].CC1=CC=CC(=C1OC1=C(C=CC=C1C)S([O-])(=O)=O)S([O-])(=O)=O,"InChI=1S/C14H14O7S2.2Na/c1-9-5-3-7-11(22(15,16)17)13(9)21-14-10(2)6-4-8-12(14)23(18,19)20;;/h3-8H,1-2H3,(H,15,16,17)(H,18,19,20);;/q;2*+1/p-2",C14H12Na2O7S2,402.34,401.981984,27,,3.0,,5, ,,,Inactive
DTXSID50210470,4-Chloro-o-xylene,615-60-1,HNQLMBJUMVLFCF-UHFFFAOYSA-N,"4-Chloro-1,2-dimethylbenzene",CC1=C(C)C=C(Cl)C=C1,"InChI=1S/C8H9Cl/c1-6-3-4-8(9)5-7(6)2/h3-5H,1-2H3",C8H9Cl,140.61,140.039278,42,,93.0,,4, ,,,Inactive
DTXSID80858783,Tris(4-isopropylphenyl) phosphate,2502-15-0,ANVREEJNGJMLOV-UHFFFAOYSA-N,Tris[4-(propan-2-yl)phenyl] phosphate,CC(C)C1=CC=C(OP(=O)(OC2=CC=C(C=C2)C(C)C)OC2=CC=C(C=C2)C(C)C)C=C1,"InChI=1S/C27H33O4P/c1-19(2)22-7-13-25(14-8-22)29-32(28,30-26-15-9-23(10-16-26)20(3)4)31-27-17-11-24(12-18-27)21(5)6/h7-21H,1-6H3",C27H33O4P,452.531,452.211647,31,,50.0,,1, ,,,Inhibitor_very weak
DTXSID70883049,"Alcohols, C8-14, .gamma.-.omega.-perfluoro-",68391-08-2,,,CC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)CCO,,,, ,34,,,,5, ,,,Inactive
DTXSID80108992,Perfluorooctanesulfonate,45298-90-6,YFSUTJLHUFNCNZ-UHFFFAOYSA-M,Heptadecafluorooctane-1-sulfonatato,[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C8HF17O3S/c9-1(10,3(13,14)5(17,18)7(21,22)23)2(11,12)4(15,16)6(19,20)8(24,25)29(26,27)28/h(H,26,27,28)/p-1",C8F17O3S,499.12,498.930217,41,1124.0,12.0,,1, ,,,Inhibitor_very weak
DTXSID3037125,Imatinib,152459-95-5,KTUFNOKKBVMGRW-UHFFFAOYSA-N,4-[(4-Methylpiperazin-1-yl)methyl]-N-(4-methyl-3-{[4-(pyridin-3-yl)pyrimidin-2-yl]amino}phenyl)benzamide,CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CC=CN=C3)=C(C)C=C2)CC1,"InChI=1S/C29H31N7O/c1-21-5-10-25(18-27(21)34-29-31-13-11-26(33-29)24-4-3-12-30-19-24)32-28(37)23-8-6-22(7-9-23)20-36-16-14-35(2)15-17-36/h3-13,18-19H,14-17,20H2,1-2H3,(H,32,37)(H,31,33,34)",C29H31N7O,493.615,493.259009,55,,265.0,,2, ,,,Inhibitor_very weak
DTXSID5027516,N-(5-Methyl-2-hexyl)-N'-phenyl-p-phenylenediamine,3081-01-4,UHJVLUYSDYOULM-UHFFFAOYSA-N,"N~1~-(5-Methylhexan-2-yl)-N~4~-phenylbenzene-1,4-diamine",CC(C)CCC(C)NC1=CC=C(NC2=CC=CC=C2)C=C1,"InChI=1S/C19H26N2/c1-15(2)9-10-16(3)20-18-11-13-19(14-12-18)21-17-7-5-4-6-8-17/h4-8,11-16,20-21H,9-10H2,1-3H3",C19H26N2,282.431,282.209599,53,,28.0,,2, ,,,Inhibitor_very weak
DTXSID8041747,C12-18-Alkyldimethylamines,68391-04-8,,,CCCCCCCCCCCCN(C)C,,,, ,31,,,,2, ,,,Inactive
DTXSID30968361,"1,1'-[(3-Methyl-1,2-phenylene)bis(methylene)]dibenzene",53585-53-8,PKQYSCBUFZOAPE-UHFFFAOYSA-N,"1,1'-[(3-Methyl-1,2-phenylene)bis(methylene)]dibenzene",CC1=C(CC2=CC=CC=C2)C(CC2=CC=CC=C2)=CC=C1,"InChI=1S/C21H20/c1-17-9-8-14-20(15-18-10-4-2-5-11-18)21(17)16-19-12-6-3-7-13-19/h2-14H,15-16H2,1H3",C21H20,272.391,272.156501,7,,26.0,,5, ,,,Inactive
DTXSID00204642,"4,4'-Bis(dimethylamino)-4''-(methylamino)trityl alcohol",561-41-1,MAGJOSJRYKEYAZ-UHFFFAOYSA-N,Bis[4-(dimethylamino)phenyl][4-(methylamino)phenyl]methanol,CNC1=CC=C(C=C1)C(O)(C1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,"InChI=1S/C24H29N3O/c1-25-21-12-6-18(7-13-21)24(28,19-8-14-22(15-9-19)26(2)3)20-10-16-23(17-11-20)27(4)5/h6-17,25,28H,1-5H3",C24H29N3O,375.516,375.231063,31,,27.0,,4, ,,,Inactive
DTXSID501005319,"4-(1-Phenylethyl)benzene-1,3-diol",85-27-8,PQSXNIMHIHYFEE-UHFFFAOYSA-N,"4-(1-Phenylethyl)benzene-1,3-diol",CC(C1=CC=CC=C1)C1=C(O)C=C(O)C=C1,"InChI=1S/C14H14O2/c1-10(11-5-3-2-4-6-11)13-8-7-12(15)9-14(13)16/h2-10,15-16H,1H3",C14H14O2,214.264,214.099380,21,,59.0,,5, ,,,Inactive
