DTXSID,PREFERRED NAME,casrn,INCHIKEY,IUPAC NAME,smiles,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays,predictions_model2
DTXSID9020112,Atrazine,1912-24-9,MXWJVTOOROXGIU-UHFFFAOYSA-N,"6-Chloro-N~2~-ethyl-N~4~-(propan-2-yl)-1,3,5-triazine-2,4-diamine",CCNC1=NC(NC(C)C)=NC(Cl)=N1,"InChI=1S/C8H14ClN5/c1-4-10-7-12-6(9)13-8(14-7)11-5(2)3/h5H,4H2,1-3H3,(H2,10,11,12,13,14)",C8H14ClN5,215.69,215.093773,295,14356,191.0,32.0,2,63/1053,6.0,1053.0,Inactive
DTXSID0024000,Chlorthal-dimethyl,1861-32-1,NPOJQCVWMSKXDN-UHFFFAOYSA-N,"Dimethyl 2,3,5,6-tetrachlorobenzene-1,4-dicarboxylate",COC(=O)C1=C(Cl)C(Cl)=C(C(=O)OC)C(Cl)=C1Cl,InChI=1S/C10H6Cl4O4/c1-17-9(15)3-5(11)7(13)4(10(16)18-2)8(14)6(3)12/h1-2H3,C10H6Cl4O4,331.95,329.902019,165,25,128.0,20.0,1,45/885,5.0,885.0,Inactive
DTXSID7020479,Dimethoate,60-51-5,MCWXGJITAZMZEV-UHFFFAOYSA-N,"O,O-Dimethyl S-[2-(methylamino)-2-oxoethyl] phosphorodithioate",CNC(=O)CSP(=S)(OC)OC,"InChI=1S/C5H12NO3PS2/c1-6-5(7)4-12-10(11,8-2)9-3/h4H2,1-3H3,(H,6,7)",C5H12NO3PS2,229.25,228.999623,244,688,135.0,11.0,2,54/1035,5.0,1035.0,Inactive
DTXSID6024175,Metalaxyl,57837-19-1,ZQEIXNIJLIKNTD-UHFFFAOYSA-N,"Methyl N-(2,6-dimethylphenyl)-N-(methoxyacetyl)alaninate",COCC(=O)N(C(C)C(=O)OC)C1=C(C)C=CC=C1C,"InChI=1/C15H21NO4/c1-10-7-6-8-11(2)14(10)16(13(17)9-19-4)12(3)15(18)20-5/h6-8,12H,9H2,1-5H3",C15H21NO4,279.336,279.147058,176,171,104.0,6.0,1,38/961,4.0,961.0,Inactive
DTXSID0020442,"2,4-Dichlorophenoxyacetic acid",94-75-7,OVSKIKFHRZPJSS-UHFFFAOYSA-N,"(2,4-Dichlorophenoxy)acetic acid",OC(=O)COC1=C(Cl)C=C(Cl)C=C1,"InChI=1S/C8H6Cl2O3/c9-5-1-2-7(6(10)3-5)13-4-8(11)12/h1-3H,4H2,(H,11,12)",C8H6Cl2O3,221.03,219.969400,257,2614,216.0,93.0,1,39/969,4.0,969.0,Inactive
DTXSID4021268,Simazine,122-34-9,ODCWYMIRDDJXKW-UHFFFAOYSA-N,"6-Chloro-N~2~,N~4~-diethyl-1,3,5-triazine-2,4-diamine",CCNC1=NC(NCC)=NC(Cl)=N1,"InChI=1S/C7H12ClN5/c1-3-9-6-11-5(8)12-7(13-6)10-4-2/h3-4H2,1-2H3,(H2,9,10,11,12,13)",C7H12ClN5,201.66,201.078123,241,335,165.0,42.0,1,42/991,4.0,991.0,Inactive
DTXSID8023892,Abamectin,71751-41-2,,,CCC(C)[C@H]1O[C@@]2(C[C@@H]3C[C@@H](C\C=C(/C)\[C@@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)\C=C\C=C\6/CO[C@@H]7[C@H](O)C(=C[C@@H](C(=O)O3)[C@]67O)C)O2)C=C[C@@H]1C.CO[C@H]8C[C@H](O[C@H]9[C@H](C)O[C@H](C[C@@H]9OC)O[C@H]%10[C@@H](C)\C=C\C=C\%11/CO[C@@H]%12[C@H](O)C(=C[C@@H](C(=O)O[C@H]%13C[C@@H](C\C=C\%10/C)O[C@@]%14(C%13)O[C@H](C(C)C)[C@@H](C)C=C%14)[C@]%11%12O)C)O[C@@H](C)[C@@H]8O,,,, ,119,718,,2.0,1,421/1085,39.0,1085.0,Inactive
DTXSID4024274,Propachlor,1918-16-7,MFOUDYKPLGXPGO-UHFFFAOYSA-N,2-Chloro-N-phenyl-N-(propan-2-yl)acetamide,CC(C)N(C(=O)CCl)C1=CC=CC=C1,"InChI=1S/C11H14ClNO/c1-9(2)13(11(14)8-12)10-6-4-3-5-7-10/h3-7,9H,8H2,1-2H3",C11H14ClNO,211.69,211.076392,173,54,116.0,14.0,1,252/650,39.0,650.0,Inhibitor_very weak
DTXSID0020319,Chlorothalonil,1897-45-6,CRQQGFGUEAVUIL-UHFFFAOYSA-N,"2,4,5,6-Tetrachlorobenzene-1,3-dicarbonitrile",ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl,InChI=1S/C8Cl4N2/c9-5-3(1-13)6(10)8(12)7(11)4(5)2-14,C8Cl4N2,265.9,263.881559,232,251,146.0,167.0,1,377/1065,35.0,1065.0,Inhibitor_weak
DTXSID4024276,Propargite,2312-35-8,ZYHMJXZULPZUED-UHFFFAOYSA-N,2-(4-tert-Butylphenoxy)cyclohexyl prop-2-yn-1-yl sulfite,CC(C)(C)C1=CC=C(OC2CCCCC2OS(=O)OCC#C)C=C1,"InChI=1/C19H26O4S/c1-5-14-21-24(20)23-18-9-7-6-8-17(18)22-16-12-10-15(11-13-16)19(2,3)4/h1,10-13,17-18H,6-9,14H2,2-4H3",C19H26O4S,350.47,350.155180,173,33,126.0,,1,373/1096,34.0,1096.0,Inhibitor_very weak
DTXSID1020560,Endosulfan,115-29-7,RDYMFSUJUZBWLH-UHFFFAOYSA-N,"6,7,8,9,10,10-Hexachloro-1,5,5a,6,9,9a-hexahydro-3H-6,9-methano-3lambda~4~-2,4,3lambda~4~-benzodioxathiepin-3-one",ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl,"InChI=1/C9H6Cl6O3S/c10-5-6(11)8(13)4-2-18-19(16)17-1-3(4)7(5,12)9(8,14)15/h3-4H,1-2H2",C9H6Cl6O3S,406.9,403.816881,200,1175,108.0,3.0,1,344/1095,31.0,1095.0,Inhibitor_weak
DTXSID4020450,Dicofol,115-32-2,UOAMTSKGCBMZTC-UHFFFAOYSA-N,"2,2,2-Trichloro-1,1-bis(4-chlorophenyl)ethan-1-ol",OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,"InChI=1S/C14H9Cl5O/c15-11-5-1-9(2-6-11)13(20,14(17,18)19)10-3-7-12(16)8-4-10/h1-8,20H",C14H9Cl5O,370.48,367.909603,195,134,77.0,7.0,2,285/951,30.0,951.0,Inhibitor_very weak
DTXSID6024204,Metribuzin,21087-64-9,FOXFZRUHNHCZPX-UHFFFAOYSA-N,"4-Amino-6-tert-butyl-3-(methylsulfanyl)-1,2,4-triazin-5(4H)-one",CSC1=NN=C(C(=O)N1N)C(C)(C)C,"InChI=1S/C8H14N4OS/c1-8(2,3)5-6(13)12(9)7(14-4)11-10-5/h9H2,1-4H3",C8H14N4OS,214.29,214.088832,193,126,116.0,13.0,2,31/971,3.0,971.0,Inactive
DTXSID1024091,EPTC,759-94-4,GUVLYNGULCJVDO-UHFFFAOYSA-N,S-Ethyl dipropylcarbamothioate,CCCN(CCC)C(=O)SCC,"InChI=1S/C9H19NOS/c1-4-7-10(8-5-2)9(11)12-6-3/h4-8H2,1-3H3",C9H19NOS,189.32,189.118735,181,22,87.0,4.0,2,32/1013,3.0,1013.0,Inactive
DTXSID9020243,Captan,133-06-2,LDVVMCZRFWMZSG-OLQVQODUSA-N,"2-[(Trichloromethyl)sulfanyl]-3a,4,7,7a-tetrahydro-1H-isoindole-1,3(2H)-dione",[H][C@@]12CC=CC[C@]1([H])C(=O)N(SC(Cl)(Cl)Cl)C2=O,"InChI=1S/C9H8Cl3NO2S/c10-9(11,12)16-13-7(14)5-3-1-2-4-6(5)8(13)15/h1-2,5-6H,3-4H2/t5-,6+",C9H8Cl3NO2S,300.58,298.934133,217,308,98.0,9.0,1,289/1062,27.0,1062.0,Inhibitor_very weak
DTXSID1032648,Z-Tetrachlorvinphos,22248-79-9,UBCKGWBNUIFUST-YHYXMXQVSA-N,"(Z)-2-Chloro-1-(2,4,5-trichlorophenyl)ethenyl dimethyl phosphate",COP(=O)(OC)O\C(=C/Cl)C1=C(Cl)C=C(Cl)C(Cl)=C1,"InChI=1S/C10H9Cl4O4P/c1-16-19(15,17-2)18-10(5-11)6-3-8(13)9(14)4-7(6)12/h3-5H,1-2H3/b10-5-",C10H9Cl4O4P,365.95,363.899257,118,108,59.0,2.0,1,161/641,25.0,641.0,Inhibitor_weak
DTXSID8024280,Propiconazole,60207-90-1,STJLVHWMYQXCPB-UHFFFAOYSA-N,"1-{[2-(2,4-Dichlorophenyl)-4-propyl-1,3-dioxolan-2-yl]methyl}-1H-1,2,4-triazole",CCCC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(Cl)C=C1,"InChI=1/C15H17Cl2N3O2/c1-2-3-12-7-21-15(22-12,8-20-10-18-9-19-20)13-5-4-11(16)6-14(13)17/h4-6,9-10,12H,2-3,7-8H2,1H3",C15H17Cl2N3O2,342.22,341.069782,220,179,123.0,3.0,1,284/1150,25.0,1150.0,Inhibitor_weak
DTXSID9032113,Tebuconazole,107534-96-3,PXMNMQRDXWABCY-UHFFFAOYSA-N,"1-(4-Chlorophenyl)-4,4-dimethyl-3-[(1H-1,2,4-triazol-1-yl)methyl]pentan-3-ol",CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1,"InChI=1/C16H22ClN3O/c1-15(2,3)16(21,10-20-12-18-11-19-20)9-8-13-4-6-14(17)7-5-13/h4-7,11-12,21H,8-10H2,1-3H3",C16H22ClN3O,307.82,307.145140,201,182,120.0,11.0,1,229/1050,22.0,1050.0,Inhibitor_weak
DTXSID0021385,Folpet,133-07-3,HKIOYBQGHSTUDB-UHFFFAOYSA-N,"2-[(Trichloromethyl)sulfanyl]-1H-isoindole-1,3(2H)-dione",ClC(Cl)(Cl)SN1C(=O)C2=C(C=CC=C2)C1=O,"InChI=1S/C9H4Cl3NO2S/c10-9(11,12)16-13-7(14)5-3-1-2-4-6(5)8(13)15/h1-4H",C9H4Cl3NO2S,296.55,294.902833,183,66,93.0,58.0,2,204/991,21.0,991.0,Inhibitor_very weak
DTXSID4020458,Chlorpyrifos,2921-88-2,SBPBAQFWLVIOKP-UHFFFAOYSA-N,"O,O-Diethyl O-(3,5,6-trichloropyridin-2-yl) phosphorothioate",CCOP(=S)(OCC)OC1=NC(Cl)=C(Cl)C=C1Cl,"InChI=1S/C9H11Cl3NO3PS/c1-3-14-17(18,15-4-2)16-9-7(11)5-6(10)8(12)13-9/h5H,3-4H2,1-2H3",C9H11Cl3NO3PS,350.57,348.926285,273,2387,182.0,146.0,1,190/904,21.0,904.0,Inhibitor_weak
DTXSID8023846,Acephate,30560-19-1,YASYVMFAVPKPKE-UHFFFAOYSA-N,"O,S-Dimethyl N-acetylphosphoramidothioate",COP(=O)(NC(C)=O)SC,"InChI=1/C4H10NO3PS/c1-4(6)5-9(7,8-2)10-3/h1-3H3,(H,5,6,7)",C4H10NO3PS,183.16,183.011901,189,160,119.0,26.0,1,17/1020,2.0,1020.0,Inactive
DTXSID1022267,Methomyl,16752-77-5,UHXUZOCRWCRNSJ-UHFFFAOYSA-N,Methyl N-[(methylcarbamoyl)oxy]ethanimidothioate,CNC(=O)ON=C(C)SC,"InChI=1S/C5H10N2O2S/c1-4(10-3)7-9-5(8)6-2/h1-3H3,(H,6,8)",C5H10N2O2S,162.21,162.046299,193,240,64.0,12.0,1,17/958,2.0,958.0,Inactive
DTXSID8020759,Isophorone,78-59-1,HJOVHMDZYOCNQW-UHFFFAOYSA-N,"3,5,5-Trimethylcyclohex-2-en-1-one",CC1=CC(=O)CC(C)(C)C1,"InChI=1S/C9H14O/c1-7-4-8(10)6-9(2,3)5-7/h4H,5-6H2,1-3H3",C9H14O,138.21,138.104465,218,35,135.0,180.0,2,20/877,2.0,877.0,Inactive
DTXSID6024177,Methamidophos,10265-92-6,NNKVPIKMPCQWCG-UHFFFAOYSA-N,"O,S-Dimethyl phosphoramidothioate",COP(N)(=O)SC,"InChI=1S/C2H8NO2PS/c1-5-6(3,4)7-2/h1-2H3,(H2,3,4)",C2H8NO2PS,141.12,141.001337,175,259,106.0,,2,24/989,2.0,989.0,Inactive
DTXSID3022455,Dimethyl phthalate,131-11-3,NIQCNGHVCWTJSM-UHFFFAOYSA-N,"Dimethyl benzene-1,2-dicarboxylate",COC(=O)C1=C(C=CC=C1)C(=O)OC,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3",C10H10O4,194.186,194.057909,251,188,148.0,288.0,2,18/971,2.0,971.0,Inactive
DTXSID5032365,Dichlobenil,1194-65-6,YOYAIZYFCNQIRF-UHFFFAOYSA-N,"2,6-Dichlorobenzonitrile",ClC1=CC=CC(Cl)=C1C#N,InChI=1S/C7H3Cl2N/c8-6-2-1-3-7(9)5(6)4-10/h1-3H,C7H3Cl2N,172.01,170.964255,179,107,182.0,12.0,2,17/972,2.0,972.0,Inactive
DTXSID6032562,Octylbicycloheptenedicarboximide,113-48-4,WLLGXSLBOPFWQV-UHFFFAOYSA-N,"2-(2-Ethylhexyl)-3a,4,7,7a-tetrahydro-1H-4,7-methanoisoindole-1,3(2H)-dione",CCCCC(CC)CN1C(=O)C2C3CC(C=C3)C2C1=O,"InChI=1S/C17H25NO2/c1-3-5-6-11(4-2)10-18-16(19)14-12-7-8-13(9-12)15(14)17(18)20/h7-8,11-15H,3-6,9-10H2,1-2H3",C17H25NO2,275.392,275.188529,143,9,48.0,66.0,2,217/1140,19.0,1140.0,Inhibitor_very weak
DTXSID7022253,Resmethrin,10453-86-8,VEMKTZHHVJILDY-UHFFFAOYSA-N,"(5-Benzylfuran-3-yl)methyl 2,2-dimethyl-3-(2-methylprop-1-en-1-yl)cyclopropane-1-carboxylate",CC(C)=CC1C(C(=O)OCC2=COC(CC3=CC=CC=C3)=C2)C1(C)C,"InChI=1S/C22H26O3/c1-15(2)10-19-20(22(19,3)4)21(23)25-14-17-12-18(24-13-17)11-16-8-6-5-7-9-16/h5-10,12-13,19-20H,11,14H2,1-4H3",C22H26O3,338.447,338.188195,173,95,92.0,70.0,1,181/1006,18.0,1006.0,Inhibitor_very weak
DTXSID8024315,Myclobutanil,88671-89-0,HZJKXKUJVSEEFU-UHFFFAOYSA-N,"2-(4-Chlorophenyl)-2-[(1H-1,2,4-triazol-1-yl)methyl]hexanenitrile",CCCCC(CN1C=NC=N1)(C#N)C1=CC=C(Cl)C=C1,"InChI=1S/C15H17ClN4/c1-2-3-8-15(9-17,10-20-12-18-11-19-20)13-4-6-14(16)7-5-13/h4-7,11-12H,2-3,8,10H2,1H3",C15H17ClN4,288.78,288.114174,193,55,112.0,,2,156/1023,15.0,1023.0,Inhibitor_very weak
DTXSID1021166,Piperonyl butoxide,51-03-6,FIPWRIJSWJWJAI-UHFFFAOYSA-N,"5-{[2-(2-Butoxyethoxy)ethoxy]methyl}-6-propyl-2H-1,3-benzodioxole",CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC,"InChI=1S/C19H30O5/c1-3-5-7-20-8-9-21-10-11-22-14-17-13-19-18(23-15-24-19)12-16(17)6-4-2/h12-13H,3-11,14-15H2,1-2H3",C19H30O5,338.444,338.209324,233,659,139.0,224.0,2,160/1033,15.0,1033.0,Inhibitor_weak
DTXSID2024163,Linuron,330-55-2,XKJMBINCVNINCA-UHFFFAOYSA-N,"N'-(3,4-Dichlorophenyl)-N-methoxy-N-methylurea",CON(C)C(=O)NC1=CC=C(Cl)C(Cl)=C1,"InChI=1S/C9H10Cl2N2O2/c1-13(15-2)9(14)12-6-3-4-7(10)8(11)5-6/h3-5H,1-2H3,(H,12,14)",C9H10Cl2N2O2,249.09,248.011933,209,229,102.0,1.0,1,169/1145,15.0,1145.0,Inhibitor_very weak
DTXSID4032667,Esfenvalerate,66230-04-4,NYPJDWWKZLNGGM-RPWUZVMVSA-N,(S)-Cyano(3-phenoxyphenyl)methyl (2S)-2-(4-chlorophenyl)-3-methylbutanoate,CC(C)[C@H](C(=O)O[C@H](C#N)C1=CC=CC(OC2=CC=CC=C2)=C1)C1=CC=C(Cl)C=C1,"InChI=1S/C25H22ClNO3/c1-17(2)24(18-11-13-20(26)14-12-18)25(28)30-23(16-27)19-7-6-10-22(15-19)29-21-8-4-3-5-9-21/h3-15,17,23-24H,1-2H3/t23-,24+/m1/s1",C25H22ClNO3,419.91,419.128821,155,483,67.0,8.0,2,143/1025,14.0,1025.0,Activator_very weak
DTXSID4020791,Malathion,121-75-5,JXSJBGJIGXNWCI-UHFFFAOYSA-N,Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,"InChI=1S/C10H19O6PS2/c1-5-15-9(11)7-8(10(12)16-6-2)19-17(18,13-3)14-4/h8H,5-7H2,1-4H3",C10H19O6PS2,330.35,330.036068,250,2028,157.0,72.0,1,153/1086,14.0,1086.0,Inactive
DTXSID3023897,Triadimefon,43121-43-3,WURBVZBTWMNKQT-UHFFFAOYSA-N,"1-(4-Chlorophenoxy)-3,3-dimethyl-1-(1H-1,2,4-triazol-1-yl)butan-2-one",CC(C)(C)C(=O)C(OC1=CC=C(Cl)C=C1)N1C=NC=N1,"InChI=1S/C14H16ClN3O2/c1-14(2,3)12(19)13(18-9-16-8-17-18)20-11-6-4-10(15)5-7-11/h4-9,13H,1-3H3",C14H16ClN3O2,293.75,293.093104,199,163,131.0,46.0,2,137/999,14.0,999.0,Inhibitor_very weak
DTXSID9020160,Bifenthrin,82657-04-3,OMFRMAHOUUJSGP-IRHGGOMRSA-N,"(2-Methyl[1,1'-biphenyl]-3-yl)methyl (1R,3R)-3-[(1Z)-2-chloro-3,3,3-trifluoroprop-1-en-1-yl]-2,2-dimethylcyclopropane-1-carboxylate",CC1=C(C=CC=C1COC(=O)[C@@H]1[C@H](\C=C(/Cl)C(F)(F)F)C1(C)C)C1=CC=CC=C1,"InChI=1/C23H22ClF3O2/c1-14-16(10-7-11-17(14)15-8-5-4-6-9-15)13-29-21(28)20-18(22(20,2)3)12-19(24)23(25,26)27/h4-12,18,20H,13H2,1-3H3/b19-12-/t18-,20-/s2",C23H22ClF3O2,422.87,422.126042,172,246,50.0,18.0,1,159/1142,14.0,1142.0,Inhibitor_very weak
DTXSID3024154,"3-(3,5-Dichlorophenyl)-N-(1-methylethyl)-2,4-dioxo-1-imidazolidinecarboxamide",36734-19-7,ONUFESLQCSAYKA-UHFFFAOYSA-N,"3-(3,5-Dichlorophenyl)-2,4-dioxo-N-(propan-2-yl)imidazolidine-1-carboxamide",CC(C)NC(=O)N1CC(=O)N(C1=O)C1=CC(Cl)=CC(Cl)=C1,"InChI=1S/C13H13Cl2N3O3/c1-7(2)16-12(20)17-6-11(19)18(13(17)21)10-4-8(14)3-9(15)5-10/h3-5,7H,6H2,1-2H3,(H,16,20)",C13H13Cl2N3O3,330.17,329.033397,185,100,105.0,5.0,1,148/1095,14.0,1095.0,Inhibitor_very weak
DTXSID1020855,Methyl parathion,298-00-0,RLBIQVVOMOPOHC-UHFFFAOYSA-N,"O,O-Dimethyl O-(4-nitrophenyl) phosphorothioate",COP(=S)(OC)OC1=CC=C(C=C1)[N+]([O-])=O,"InChI=1S/C8H10NO5PS/c1-12-15(16,13-2)14-8-5-3-7(4-6-8)9(10)11/h3-6H,1-2H3",C8H10NO5PS,263.2,263.001731,225,749,114.0,7.0,2,159/1143,14.0,1143.0,Inhibitor_very weak
DTXSID1023998,Cypermethrin,52315-07-8,KAATUXNTWXVJKI-UHFFFAOYSA-N,"Cyano(3-phenoxyphenyl)methyl 3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropane-1-carboxylate",CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1,"InChI=1S/C22H19Cl2NO3/c1-22(2)17(12-19(23)24)20(22)21(26)28-18(13-25)14-7-6-10-16(11-14)27-15-8-4-3-5-9-15/h3-12,17-18,20H,1-2H3",C22H19Cl2NO3,416.3,415.074199,208,1148,202.0,25.0,1,160/1180,14.0,1180.0,Inhibitor_very weak
DTXSID2021105,Pentachloronitrobenzene,82-68-8,LKPLKUMXSAEKID-UHFFFAOYSA-N,"1,2,3,4,5-Pentachloro-6-nitrobenzene",[O-][N+](=O)C1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,InChI=1S/C6Cl5NO2/c7-1-2(8)4(10)6(12(13)14)5(11)3(1)9,C6Cl5NO2,295.32,292.837167,201,69,113.0,12.0,2,122/965,13.0,965.0,Inactive
DTXSID2020420,Propyzamide,23950-58-5,PHNUZKMIPFFYSO-UHFFFAOYSA-N,"3,5-Dichloro-N-(2-methylbut-3-yn-2-yl)benzamide",CC(C)(NC(=O)C1=CC(Cl)=CC(Cl)=C1)C#C,"InChI=1S/C12H11Cl2NO/c1-4-12(2,3)15-11(16)8-5-9(13)7-10(14)6-8/h1,5-7H,2-3H3,(H,15,16)",C12H11Cl2NO,256.13,255.021769,185,54,125.0,8.0,1,128/1091,12.0,1091.0,Inhibitor_very weak
DTXSID1032640,Pyriproxyfen,95737-68-1,NHDHVHZZCFYRSB-UHFFFAOYSA-N,2-{[1-(4-Phenoxyphenoxy)propan-2-yl]oxy}pyridine,CC(COC1=CC=C(OC2=CC=CC=C2)C=C1)OC1=NC=CC=C1,"InChI=1S/C20H19NO3/c1-16(23-20-9-5-6-14-21-20)15-22-17-10-12-19(13-11-17)24-18-7-3-2-4-8-18/h2-14,16H,15H2,1H3",C20H19NO3,321.376,321.136493,153,259,118.0,7.0,1,122/979,12.0,979.0,Inhibitor_weak
